arrival_time,wait_time
17:20:21,N/A
17:20:52,00:17:10
17:22:59,N/A
17:23:00,N/A
17:23:14,N/A
17:23:34,00:13:55
17:24:05,00:16:37
17:25:38,00:15:56
17:25:58,00:20:38
17:27:00,N/A
17:27:24,N/A
17:27:45,N/A
17:28:01,N/A
17:28:36,00:15:42
17:29:25,00:16:46
17:29:26,N/A
17:31:02,N/A
17:32:17,00:16:03
17:32:35,N/A
17:33:04,00:15:00
17:33:04,00:19:49
17:33:21,N/A
17:34:24,00:18:57
17:35:49,00:27:35
17:37:31,00:18:23
17:37:48,N/A
17:38:04,00:19:46
17:38:25,N/A
17:39:29,N/A
17:40:15,N/A
17:40:21,N/A
17:40:41,N/A
17:40:56,00:19:37
17:41:30,N/A
17:42:40,00:20:54
17:43:06,N/A
17:43:30,N/A
17:45:39,00:19:22
17:46:00,N/A
17:46:18,00:20:07
17:49:03,00:21:12
17:49:04,00:18:19
17:50:38,00:19:12
17:52:05,N/A
17:52:16,N/A
17:52:20,N/A
17:52:41,N/A
17:53:20,00:19:36
17:56:32,00:18:16
17:56:41,00:18:49
17:57:01,N/A
17:58:11,00:17:56
17:58:59,N/A
18:01:08,00:15:28
18:02:55,N/A
18:03:44,00:13:37
18:04:01,00:16:29
18:04:24,N/A
18:06:52,00:12:31
18:07:14,00:13:23
18:12:26,00:10:21
18:15:35,00:06:28
18:17:25,00:07:18
18:18:21,00:09:36
18:18:44,00:08:27
18:20:25,00:08:13
18:23:19,00:06:49
18:24:33,00:05:16
18:25:31,00:08:44
18:35:49,00:04:48
18:37:58,00:02:14
18:49:32,00:01:23
18:53:18,00:01:03
19:06:24,00:01:07
