customer_group_id,group_size,entry_time,queue_wait_time,service_start_time,service_time
117,2,11:58:12,00:00:00,00:00:00,00:00:00
124,2,12:00:52,00:00:00,00:00:00,00:00:00
125,1,12:04:07,00:00:00,00:00:00,00:00:00
119,3,12:04:38,00:00:00,00:00:00,00:00:00
126,1,12:05:16,00:00:00,00:00:00,00:00:00
122,2,12:05:55,00:00:00,00:00:00,00:00:00
120,2,12:06:53,00:00:00,00:00:00,00:00:00
121,1,12:08:00,00:00:00,00:00:00,00:00:00
123,1,12:08:28,00:00:00,00:00:00,00:00:00
133,1,12:10:32,00:00:00,00:00:00,00:00:00
127,1,12:11:06,00:00:00,00:00:00,00:00:00
132,1,12:12:04,00:00:00,00:00:00,00:00:00
134,1,12:14:59,00:00:00,00:00:00,00:00:00
128,1,12:15:38,00:00:00,00:00:00,00:00:00
131,2,12:15:57,00:00:00,00:00:00,00:00:00
130,1,12:17:49,00:00:00,00:00:00,00:00:00
129,2,12:18:32,00:00:00,00:00:00,00:00:00
143,1,12:20:11,00:00:00,00:00:00,00:00:00
136,1,12:20:50,00:00:00,00:00:00,00:00:00
144,1,12:21:06,00:00:00,00:00:00,00:00:00
137,2,12:21:35,00:00:00,00:00:00,00:00:00
139,2,12:22:39,00:00:00,00:00:00,00:00:00
140,1,12:24:01,00:00:00,00:00:00,00:00:00
138,1,12:24:41,00:00:00,00:00:00,00:00:00
141,1,12:25:09,00:00:00,00:00:00,00:00:00
145,1,12:28:04,00:00:00,00:00:00,00:00:00
142,1,12:28:14,00:00:00,00:00:00,00:00:00
135,1,12:29:22,00:00:00,00:00:00,00:00:00
147,1,12:31:18,00:00:00,00:00:00,00:00:00
153,1,12:31:41,00:00:00,00:00:00,00:00:00
152,5,12:32:35,00:00:00,00:00:00,00:00:00
149,1,12:32:47,00:00:00,00:00:00,00:00:00
155,2,12:34:08,00:00:00,00:00:00,00:00:00
150,1,12:34:11,00:00:00,00:00:00,00:00:00
148,2,12:37:59,00:00:00,00:00:00,00:00:00
151,1,12:38:33,00:00:00,00:00:00,00:00:00
154,1,12:38:55,00:00:00,00:00:00,00:00:00
146,2,12:39:02,00:00:00,00:00:00,00:00:00
158,1,12:40:03,00:00:00,00:00:00,00:00:00
164,3,12:40:10,00:00:00,00:00:00,00:00:00
165,4,12:42:45,00:00:00,00:00:00,00:00:00
161,2,12:43:38,00:00:00,00:00:00,00:00:00
160,3,12:44:00,00:00:00,00:00:00,00:00:00
162,1,12:44:40,00:00:00,00:00:00,00:00:00
166,3,12:44:43,00:00:00,00:00:00,00:00:00
163,1,12:45:41,00:00:00,00:00:00,00:00:00
159,2,12:45:59,00:00:00,00:00:00,00:00:00
167,3,12:47:39,00:00:00,00:00:00,00:00:00
157,1,12:48:14,00:00:00,00:00:00,00:00:00
156,1,12:49:14,00:00:00,00:00:00,00:00:00
174,1,12:51:45,00:00:00,00:00:00,00:00:00
171,1,12:51:49,00:00:00,00:00:00,00:00:00
169,1,12:52:02,00:00:00,00:00:00,00:00:00
179,2,12:53:39,00:00:00,00:00:00,00:00:00
183,2,12:54:12,00:00:00,00:00:00,00:00:00
178,1,12:54:17,00:00:00,00:00:00,00:00:00
180,2,12:54:20,00:00:00,00:00:00,00:00:00
182,1,12:54:53,00:00:00,00:00:00,00:00:00
176,4,12:55:46,00:00:00,00:00:00,00:00:00
168,2,12:56:41,00:00:00,00:00:00,00:00:00
175,3,12:56:46,00:00:00,00:00:00,00:00:00
181,3,12:57:06,00:00:00,00:00:00,00:00:00
173,3,12:58:21,00:00:00,00:00:00,00:00:00
177,1,12:58:51,00:00:00,00:00:00,00:00:00
172,1,12:59:35,00:00:00,00:00:00,00:00:00
170,1,12:59:39,00:00:00,00:00:00,00:00:00
205,1,13:00:23,00:00:00,00:00:00,00:00:00
190,1,13:01:34,00:00:00,00:00:00,00:00:00
185,1,13:02:06,00:00:00,00:00:00,00:00:00
189,2,13:02:16,00:00:00,00:00:00,00:00:00
200,1,13:02:25,00:00:00,00:00:00,00:00:00
191,1,13:02:47,00:00:00,00:00:00,00:00:00
186,1,13:03:51,00:00:00,00:00:00,00:00:00
201,2,13:04:12,00:00:00,00:00:00,00:00:00
184,4,13:05:20,00:00:00,00:00:00,00:00:00
194,3,13:06:12,00:00:00,00:00:00,00:00:00
206,1,13:06:19,00:00:00,00:00:00,00:00:00
209,1,13:06:55,00:00:00,00:00:00,00:00:00
196,2,13:08:07,00:00:00,00:00:00,00:00:00
203,2,13:08:10,00:00:00,00:00:00,00:00:00
192,1,13:08:35,00:00:00,00:00:00,00:00:00
198,1,13:08:47,00:00:00,00:00:00,00:00:00
197,3,13:08:58,00:00:00,00:00:00,00:00:00
187,1,13:09:02,00:00:00,00:00:00,00:00:00
202,1,13:09:09,00:00:00,00:00:00,00:00:00
199,1,13:09:13,00:00:00,00:00:00,00:00:00
188,1,13:09:18,00:00:00,00:00:00,00:00:00
207,1,13:09:30,00:00:00,00:00:00,00:00:00
204,1,13:09:31,00:00:00,00:00:00,00:00:00
208,1,13:09:49,00:00:00,00:00:00,00:00:00
195,1,13:09:49,00:00:00,00:00:00,00:00:00
193,2,13:09:52,00:00:00,00:00:00,00:00:00
228,2,13:10:09,00:00:00,00:00:00,00:00:00
219,1,13:10:14,00:00:00,00:00:00,00:00:00
220,2,13:12:14,00:00:00,00:00:00,00:00:00
224,1,13:12:21,00:00:00,00:00:00,00:00:00
223,1,13:12:25,00:00:00,00:00:00,00:00:00
214,2,13:12:48,00:00:00,00:00:00,00:00:00
216,3,13:13:12,00:00:00,00:00:00,00:00:00
217,1,13:13:13,00:00:00,00:00:00,00:00:00
211,1,13:13:27,00:00:00,00:00:00,00:00:00
227,3,13:15:09,00:00:00,00:00:00,00:00:00
221,2,13:15:18,00:00:00,00:00:00,00:00:00
225,3,13:15:35,00:00:00,00:00:00,00:00:00
215,3,13:15:40,00:00:00,00:00:00,00:00:00
212,3,13:16:20,00:00:00,00:00:00,00:00:00
210,1,13:17:24,00:00:00,00:00:00,00:00:00
213,2,13:17:28,00:00:00,00:00:00,00:00:00
226,1,13:18:09,00:00:00,00:00:00,00:00:00
222,4,13:18:13,00:00:00,00:00:00,00:00:00
218,1,13:19:05,00:00:00,00:00:00,00:00:00
258,1,13:20:41,00:00:00,00:00:00,00:00:00
237,1,13:21:10,00:00:00,00:00:00,00:00:00
250,2,13:21:29,00:00:00,00:00:00,00:00:00
244,1,13:21:55,00:00:00,00:00:00,00:00:00
232,1,13:21:57,00:00:00,00:00:00,00:00:00
241,2,13:21:58,00:00:00,00:00:00,00:00:00
259,1,13:22:51,00:00:00,00:00:00,00:00:00
260,3,13:22:56,00:00:00,00:00:00,00:00:00
230,1,13:23:28,00:00:00,00:00:00,00:00:00
233,3,13:23:33,00:00:00,00:00:00,00:00:00
238,1,13:24:06,00:00:00,00:00:00,00:00:00
245,3,13:24:10,00:00:00,00:00:00,00:00:00
247,1,13:24:23,00:00:00,00:00:00,00:00:00
254,1,13:24:30,00:00:00,00:00:00,00:00:00
257,1,13:24:54,00:00:00,00:00:00,00:00:00
231,3,13:25:22,00:00:00,00:00:00,00:00:00
262,1,13:25:42,00:00:00,00:00:00,00:00:00
234,2,13:25:45,00:00:00,00:00:00,00:00:00
243,1,13:26:13,00:00:00,00:00:00,00:00:00
242,1,13:26:20,00:00:00,00:00:00,00:00:00
236,3,13:26:23,00:00:00,00:00:00,00:00:00
253,2,13:26:24,00:00:00,00:00:00,00:00:00
252,1,13:26:30,00:00:00,00:00:00,00:00:00
240,1,13:27:01,00:00:00,00:00:00,00:00:00
256,1,13:27:08,00:00:00,00:00:00,00:00:00
229,1,13:27:09,00:00:00,00:00:00,00:00:00
239,1,13:27:54,00:00:00,00:00:00,00:00:00
255,1,13:27:58,00:00:00,00:00:00,00:00:00
263,1,13:28:16,00:00:00,00:00:00,00:00:00
235,2,13:28:23,00:00:00,00:00:00,00:00:00
248,1,13:28:30,00:00:00,00:00:00,00:00:00
261,1,13:28:41,00:00:00,00:00:00,00:00:00
249,1,13:28:43,00:00:00,00:00:00,00:00:00
246,1,13:28:47,00:00:00,00:00:00,00:00:00
251,3,13:29:59,00:00:00,00:00:00,00:00:00
285,2,13:30:00,00:00:00,00:00:00,00:00:00
283,3,13:30:34,00:00:00,00:00:00,00:00:00
288,1,13:30:38,00:00:00,00:00:00,00:00:00
279,2,13:31:15,00:00:00,00:00:00,00:00:00
267,1,13:31:17,00:00:00,00:00:00,00:00:00
280,2,13:31:26,00:00:00,00:00:00,00:00:00
277,1,13:31:44,00:00:00,00:00:00,00:00:00
275,3,13:31:47,00:00:00,00:00:00,00:00:00
271,1,13:32:20,00:00:00,00:00:00,00:00:00
281,2,13:32:45,00:00:00,00:00:00,00:00:00
287,2,13:33:00,00:00:00,00:00:00,00:00:00
269,1,13:33:39,00:00:00,00:00:00,00:00:00
266,2,13:33:58,00:00:00,00:00:00,00:00:00
276,2,13:34:27,00:00:00,00:00:00,00:00:00
282,2,13:35:12,00:00:00,00:00:00,00:00:00
284,1,13:35:58,00:00:00,00:00:00,00:00:00
270,1,13:36:00,00:00:00,00:00:00,00:00:00
286,1,13:36:12,00:00:00,00:00:00,00:00:00
273,2,13:36:31,00:00:00,00:00:00,00:00:00
264,1,13:37:13,00:00:00,00:00:00,00:00:00
268,5,13:37:24,00:00:00,00:00:00,00:00:00
278,1,13:37:45,00:00:00,00:00:00,00:00:00
265,2,13:37:55,00:00:00,00:00:00,00:00:00
272,2,13:38:24,00:00:00,00:00:00,00:00:00
274,1,13:38:59,00:00:00,00:00:00,00:00:00
308,3,13:40:10,00:00:00,00:00:00,00:00:00
314,2,13:40:13,00:00:00,00:00:00,00:00:00
298,3,13:40:21,00:00:00,00:00:00,00:00:00
302,1,13:40:25,00:00:00,00:00:00,00:00:00
310,1,13:40:40,00:00:00,00:00:00,00:00:00
312,1,13:40:50,00:00:00,00:00:00,00:00:00
304,1,13:41:01,00:00:00,00:00:00,00:00:00
296,1,13:41:39,00:00:00,00:00:00,00:00:00
313,1,13:41:45,00:00:00,00:00:00,00:00:00
309,1,13:41:59,00:00:00,00:00:00,00:00:00
297,3,13:42:03,00:00:00,00:00:00,00:00:00
291,1,13:42:23,00:00:00,00:00:00,00:00:00
317,3,13:42:56,00:00:00,00:00:00,00:00:00
301,1,13:43:02,00:00:00,00:00:00,00:00:00
303,1,13:43:09,00:00:00,00:00:00,00:00:00
306,1,13:43:28,00:00:00,00:00:00,00:00:00
292,1,13:43:40,00:00:00,00:00:00,00:00:00
300,3,13:44:42,00:00:00,00:00:00,00:00:00
290,1,13:44:53,00:00:00,00:00:00,00:00:00
307,2,13:45:22,00:00:00,00:00:00,00:00:00
294,1,13:45:51,00:00:00,00:00:00,00:00:00
316,1,13:46:44,00:00:00,00:00:00,00:00:00
311,2,13:47:05,00:00:00,00:00:00,00:00:00
315,1,13:47:09,00:00:00,00:00:00,00:00:00
295,1,13:48:04,00:00:00,00:00:00,00:00:00
305,1,13:48:33,00:00:00,00:00:00,00:00:00
299,1,13:48:47,00:00:00,00:00:00,00:00:00
293,1,13:49:04,00:00:00,00:00:00,00:00:00
289,1,13:49:22,00:00:00,00:00:00,00:00:00
318,1,14:12:03,00:00:00,00:00:00,00:00:00
321,1,14:13:26,00:00:00,00:00:00,00:00:00
325,1,14:14:53,00:00:00,00:00:00,00:00:00
320,1,14:16:06,00:00:00,00:00:00,00:00:00
323,2,14:16:08,00:00:00,00:00:00,00:00:00
326,1,14:16:26,00:00:00,00:00:00,00:00:00
324,2,14:17:45,00:00:00,00:00:00,00:00:00
319,1,14:18:42,00:00:00,00:00:00,00:00:00
322,1,14:19:15,00:00:00,00:00:00,00:00:00
327,2,14:19:48,00:00:00,00:00:00,00:00:00
330,2,14:20:50,00:00:00,00:00:00,00:00:00
328,1,14:24:52,00:00:00,00:00:00,00:00:00
329,1,14:25:54,00:00:00,00:00:00,00:00:00
332,2,14:26:41,00:00:00,00:00:00,00:00:00
334,2,14:27:28,00:00:00,00:00:00,00:00:00
333,1,14:28:56,00:00:00,00:00:00,00:00:00
331,1,14:29:08,00:00:00,00:00:00,00:00:00
337,1,14:31:35,00:00:00,00:00:00,00:00:00
336,2,14:36:42,00:00:00,00:00:00,00:00:00
338,2,14:38:10,00:00:00,00:00:00,00:00:00
335,3,14:38:52,00:00:00,00:00:00,00:00:00
342,1,14:41:37,00:00:00,00:00:00,00:00:00
341,1,14:43:13,00:00:00,00:00:00,00:00:00
339,1,14:44:41,00:00:00,00:00:00,00:00:00
340,2,14:45:15,00:00:00,00:00:00,00:00:00
343,1,14:49:12,00:00:00,00:00:00,00:00:00
349,4,14:51:00,00:00:00,00:00:00,00:00:00
346,2,14:51:50,00:00:00,00:00:00,00:00:00
344,1,14:56:58,00:00:00,00:00:00,00:00:00
347,1,14:58:04,00:00:00,00:00:00,00:00:00
348,2,14:59:33,00:00:00,00:00:00,00:00:00
345,3,14:59:38,00:00:00,00:00:00,00:00:00
351,1,15:01:07,00:00:00,00:00:00,00:00:00
355,1,15:01:08,00:00:00,00:00:00,00:00:00
358,2,15:02:46,00:00:00,00:00:00,00:00:00
357,1,15:03:57,00:00:00,00:00:00,00:00:00
353,1,15:05:17,00:00:00,00:00:00,00:00:00
354,1,15:06:49,00:00:00,00:00:00,00:00:00
356,1,15:07:38,00:00:00,00:00:00,00:00:00
350,2,15:08:24,00:00:00,00:00:00,00:00:00
352,1,15:09:56,00:00:00,00:00:00,00:00:00
368,1,15:10:42,00:00:00,00:00:00,00:00:00
369,2,15:11:13,00:00:00,00:00:00,00:00:00
361,1,15:11:41,00:00:00,00:00:00,00:00:00
363,1,15:12:28,00:00:00,00:00:00,00:00:00
367,1,15:12:45,00:00:00,00:00:00,00:00:00
366,1,15:13:02,00:00:00,00:00:00,00:00:00
364,1,15:13:22,00:00:00,00:00:00,00:00:00
365,3,15:13:29,00:00:00,00:00:00,00:00:00
362,1,15:13:43,00:00:00,00:00:00,00:00:00
359,2,15:16:01,00:00:00,00:00:00,00:00:00
370,2,15:17:25,00:00:00,00:00:00,00:00:00
360,1,15:19:22,00:00:00,00:00:00,00:00:00
375,1,15:20:46,00:00:00,00:00:00,00:00:00
371,1,15:23:40,00:00:00,00:00:00,00:00:00
376,2,15:23:48,00:00:00,00:00:00,00:00:00
379,1,15:23:52,00:00:00,00:00:00,00:00:00
372,4,15:24:11,00:00:00,00:00:00,00:00:00
377,2,15:24:12,00:00:00,00:00:00,00:00:00
380,2,15:25:09,00:00:00,00:00:00,00:00:00
381,2,15:25:37,00:00:00,00:00:00,00:00:00
378,1,15:25:51,00:00:00,00:00:00,00:00:00
373,3,15:27:05,00:00:00,00:00:00,00:00:00
374,1,15:28:21,00:00:00,00:00:00,00:00:00
393,1,15:31:23,00:00:00,00:00:00,00:00:00
387,1,15:31:28,00:00:00,00:00:00,00:00:00
383,1,15:31:35,00:00:00,00:00:00,00:00:00
391,2,15:32:01,00:00:00,00:00:00,00:00:00
394,3,15:32:43,00:00:00,00:00:00,00:00:00
389,2,15:35:27,00:00:00,00:00:00,00:00:00
390,1,15:36:26,00:00:00,00:00:00,00:00:00
385,3,15:37:22,00:00:00,00:00:00,00:00:00
392,1,15:37:45,00:00:00,00:00:00,00:00:00
382,3,15:37:54,00:00:00,00:00:00,00:00:00
384,2,15:38:26,00:00:00,00:00:00,00:00:00
386,1,15:39:19,00:00:00,00:00:00,00:00:00
388,1,15:39:54,00:00:00,00:00:00,00:00:00
401,1,15:40:05,00:00:00,00:00:00,00:00:00
406,1,15:40:10,00:00:00,00:00:00,00:00:00
395,2,15:40:37,00:00:00,00:00:00,00:00:00
405,2,15:41:35,00:00:00,00:00:00,00:00:00
402,1,15:45:25,00:00:00,00:00:00,00:00:00
400,2,15:46:10,00:00:00,00:00:00,00:00:00
398,2,15:46:17,00:00:00,00:00:00,00:00:00
396,1,15:46:24,00:00:00,00:00:00,00:00:00
397,4,15:46:36,00:00:00,00:00:00,00:00:00
404,1,15:47:05,00:00:00,00:00:00,00:00:00
403,2,15:47:09,00:00:00,00:00:00,00:00:00
399,1,15:49:49,00:00:00,00:00:00,00:00:00
409,1,15:50:04,00:00:00,00:00:00,00:00:00
419,2,15:50:15,00:00:00,00:00:00,00:00:00
420,1,15:50:44,00:00:00,00:00:00,00:00:00
413,1,15:50:46,00:00:00,00:00:00,00:00:00
418,3,15:51:53,00:00:00,00:00:00,00:00:00
416,1,15:52:06,00:00:00,00:00:00,00:00:00
407,1,15:52:23,00:00:00,00:00:00,00:00:00
411,1,15:53:37,00:00:00,00:00:00,00:00:00
417,1,15:53:47,00:00:00,00:00:00,00:00:00
408,1,15:54:39,00:00:00,00:00:00,00:00:00
414,1,15:54:50,00:00:00,00:00:00,00:00:00
410,2,15:55:34,00:00:00,00:00:00,00:00:00
412,3,15:58:05,00:00:00,00:00:00,00:00:00
415,2,15:59:44,00:00:00,00:00:00,00:00:00
426,1,16:01:20,00:00:00,00:00:00,00:00:00
422,1,16:01:52,00:00:00,00:00:00,00:00:00
423,1,16:02:03,00:00:00,00:00:00,00:00:00
431,1,16:03:08,00:00:00,00:00:00,00:00:00
430,2,16:03:48,00:00:00,00:00:00,00:00:00
434,2,16:04:24,00:00:00,00:00:00,00:00:00
421,1,16:04:54,00:00:00,00:00:00,00:00:00
425,1,16:05:04,00:00:00,00:00:00,00:00:00
424,1,16:05:55,00:00:00,00:00:00,00:00:00
429,1,16:06:27,00:00:00,00:00:00,00:00:00
436,2,16:06:37,00:00:00,00:00:00,00:00:00
428,1,16:07:45,00:00:00,00:00:00,00:00:00
433,1,16:08:55,00:00:00,00:00:00,00:00:00
427,1,16:09:06,00:00:00,00:00:00,00:00:00
435,2,16:09:31,00:00:00,00:00:00,00:00:00
432,1,16:09:38,00:00:00,00:00:00,00:00:00
440,1,16:10:44,00:00:00,00:00:00,00:00:00
446,1,16:11:00,00:00:00,00:00:00,00:00:00
441,1,16:11:20,00:00:00,00:00:00,00:00:00
447,2,16:12:45,00:00:00,00:00:00,00:00:00
443,3,16:15:11,00:00:00,00:00:00,00:00:00
444,1,16:15:33,00:00:00,00:00:00,00:00:00
438,3,16:15:38,00:00:00,00:00:00,00:00:00
442,1,16:17:02,00:00:00,00:00:00,00:00:00
439,1,16:18:00,00:00:00,00:00:00,00:00:00
437,3,16:18:22,00:00:00,00:00:00,00:00:00
445,1,16:18:44,00:00:00,00:00:00,00:00:00
452,1,16:41:56,00:00:00,00:00:00,00:00:00
457,1,16:42:48,00:00:00,00:00:00,00:00:00
448,2,16:43:04,00:00:00,00:00:00,00:00:00
455,2,16:43:06,00:00:00,00:00:00,00:00:00
450,1,16:43:33,00:00:00,00:00:00,00:00:00
451,2,16:44:42,00:00:00,00:00:00,00:00:00
458,1,16:46:27,00:00:00,00:00:00,00:00:00
456,1,16:46:30,00:00:00,00:00:00,00:00:00
454,1,16:46:49,00:00:00,00:00:00,00:00:00
449,1,16:48:08,00:00:00,00:00:00,00:00:00
453,3,16:48:36,00:00:00,00:00:00,00:00:00
461,2,16:51:07,00:00:00,00:00:00,00:00:00
465,2,16:51:08,00:00:00,00:00:00,00:00:00
466,2,16:53:05,00:00:00,00:00:00,00:00:00
463,2,16:53:07,00:00:00,00:00:00,00:00:00
459,2,16:53:43,00:00:00,00:00:00,00:00:00
462,3,16:55:25,00:00:00,00:00:00,00:00:00
460,1,16:58:02,00:00:00,00:00:00,00:00:00
464,2,16:59:45,00:00:00,00:00:00,00:00:00
470,1,17:00:28,00:00:00,00:00:00,00:00:00
476,1,17:01:01,00:00:00,00:00:00,00:00:00
472,1,17:01:21,00:00:00,00:00:00,00:00:00
477,1,17:02:11,00:00:00,00:00:00,00:00:00
474,1,17:02:13,00:00:00,00:00:00,00:00:00
479,2,17:02:17,00:00:00,00:00:00,00:00:00
475,1,17:03:16,00:00:00,00:00:00,00:00:00
471,2,17:03:45,00:00:00,00:00:00,00:00:00
468,2,17:04:36,00:00:00,00:00:00,00:00:00
478,2,17:08:05,00:00:00,00:00:00,00:00:00
469,1,17:09:22,00:00:00,00:00:00,00:00:00
473,2,17:09:24,00:00:00,00:00:00,00:00:00
480,2,17:09:31,00:00:00,00:00:00,00:00:00
467,1,17:09:42,00:00:00,00:00:00,00:00:00
488,1,17:10:29,00:00:00,00:00:00,00:00:00
485,3,17:11:20,00:00:00,00:00:00,00:00:00
491,2,17:12:52,00:00:00,00:00:00,00:00:00
482,2,17:13:03,00:00:00,00:00:00,00:00:00
489,1,17:13:17,00:00:00,00:00:00,00:00:00
486,1,17:14:29,00:00:00,00:00:00,00:00:00
483,1,17:15:31,00:00:00,00:00:00,00:00:00
492,3,17:16:26,00:00:00,00:00:00,00:00:00
487,1,17:17:12,00:00:00,00:00:00,00:00:00
484,1,17:17:42,00:00:00,00:00:00,00:00:00
481,1,17:18:52,00:00:00,00:00:00,00:00:00
